IP Address      | Identity                                     | Gossip | TPU   | TPU-QUIC | RPC Address           | Version | Feature Set
45.134.108.184  | ErGPfAqsC9WdboQYXjP4VuWM5GsvuTPgd1hRvuKyxzj5 | 5555   | 5558  | 5564     | none                  | 2.1.14  | 3271415109
64.31.52.174    | 63Yoiy3gLthvyXm4WeCweD7WeztXmdF4Jf1FxRVqKagm | 8001   | 8004  | 8010     | none                  | 2.1.11  | 3039680930
64.130.53.101   | AtHTZsxgm7KxCGLgnDS5Zybodkb3VcpY8ZSvVStrwsxv | 8000   | 8003  | 8009     | none                  | 2.0.21  | 607245837
177.54.159.67   | AkV35Pyxy6nhFWoaodHZdrZoMRSoYUi43cNytEaZMX8j | 8000   | 8003  | 8009     | none                  | 2.1.14  | 3271415109
204.16.241.104  | 598jYizfoeDPbDQ3Sw7Z8EQZijuecHMKyT7iPHEYeYu3 | 8001   | 8004  | 8010     | none                  | 2.2.0   | 1081947060
109.94.96.107   | Eon6qe8VeSwy3LHxqYgbKjU8mN2RyFq7p1TmmNH28szf | 8000   | 8003  | 8009     | none                  | 2.1.14  | 3271415109
15.204.241.126  | 2hDDfgHvLkjTuqAEwEy4vyLTCX4QhvAXyJRdg6ivhs9H | 8000   | 8003  | 8009     | none                  | 2.1.9   | 3039680930
87.98.146.83    | G2dBins8zLWaRmWS7HP8J2fPiwCjvaNPmmJeb2eZChPa | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
146.59.8.172    | CquaUg2LBFpQGJiPNx5ru3vLrNGsvGcHwhFvVeX5V5Wj | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
64.31.54.71     | 5MwkQMhiFEKwXN7fCqLJRaef23G3aNeBgrRxt3XQHo8H | 8001   | 8004  | 8010     | none                  | 2.1.11  | 3039680930
45.250.253.127  | ARue7cUKxzQtCjopWhTxCyZ4dVSSSezdeYvgkZKxAVW3 | 8000   | 8003  | 8009     | none                  | 2.1.14  | 3271415109
204.16.247.30   | 8RwvpK1ahqPgGBRPFRKz5eqAvwLcCCn4Fy51omGAQbeS | 8001   | 8004  | 8010     | none                  | 2.1.11  | 3039680930
64.130.52.216   | DqBy2Q8D4FFB7yrtkxowNR6Ht1V71YxQJFuWiehWkzzy | 8000   | 8003  | 8009     | none                  | 2.1.13  | 1725507508
162.245.185.66  | 7XKDDH2qaQx8uH5N4gBUDDde2X8XjqEygeRhdAhBosgr | 8000   | 8003  | 8009     | none                  | 2.1.14  | 3271415109
72.46.87.41     | 7EYTuYbotMfgM6v1Cf3MzmZoyNBuYgzaNh32eDQNQ1GE | 8001   | 8004  | 8010     | none                  | 2.1.11  | 1725507508
208.91.109.25   | 6Zgoyb7kfCV9CetPHVnKJ4674U8fes1FxxZWwkW3Kqsg | 8001   | 8004  | 8010     | none                  | 2.2.0   | 103906889
38.58.178.8     | 2L7gDu4JafQuCSyf3k1TL5gfDjKjKj4knAuMH4y6JDah | 18000  | 18003 | 18009    | none                  | 2.1.11  | 3039680930
3.81.16.118     | EzRUSBaeKaaXPgf4811RhzzTEuc89qW2t4Yo8ccaudNZ | 8000   | 8003  | 8009     | none                  | 2.1.11  | 3039680930
64.20.44.26     | 7mWU4XyacwKFus6qmY9qLLGhf2nonbrkjxdUkpEN2kqF | 8001   | 8003  | 8009     | none                  | 2.1.11  | 1725507508
208.115.201.138 | 8MqEZabTH22tgzPSwLK5tPjEQ6Vk8ALf5fxsWKhD5VDQ | 8801   | 8002  | 8008     | none                  | 2.1.15  | 3271415109
69.67.149.179   | GKcKRg8vzor1msRkbrrNTcmrVQpFvGV1oCwNXCQFB5Xz | 8000   | 8003  | 8009     | none                  | 2.1.14  | 3271415109
64.130.52.45    | 7DX7U3vFQPJy3tyFdrxqJnBchbnnZYD61YE9zdarg11x | 8000   | 8003  | 8009     | none                  | 2.0.21  | 607245837
69.67.151.73    | EShSpv2c7Zs4FEj4cMv2u7deZrdRMegLzDhKRe3ArZdp | 8000   | 8003  | 8009     | none                  | 2.1.14  | 3271415109
85.195.90.47    | EDV6pFHTWUJ8wDscEiLrSDLkwLadzbiQPiA5LiCj74SV | 8000   | 8003  | 8009     | none                  | 2.1.4   | 288566304
103.252.91.228  | 3RFzPYWKPX8dFjUaZLKgV1njLDfLA9aKvvZwckNj5aR1 | 8001   | 8003  | 8009     | 103.252.91.228:8899   | 2.1.14  | 3271415109
23.92.177.77    | 71mvw97XTB9e1MMBznJ6pE2mm1FXyCR8JpLEWzASW96k | 21610  | 11603 | 11609    | 23.92.177.77:21611    | 2.1.14  | 3271415109
208.91.107.83   | HqQkyNtVWzX4PK4MTx9829cfqTz6ZWsgrAEV8ME7YedL | 8001   | 8004  | 8010     | none                  | 2.2.0   | 103906889
57.129.85.194   | ExvXM2cJeBmNTdE5irQRWZKTwZdfrtJuntg4b2NF5RLz | 8000   | 8003  | 8009     | none                  | 2.1.13  | 1725507508
64.130.55.11    | AQgNdbcF81P69euzLibdUjjrx9yWgEbBdroaMA6dDxae | 8001   | 8004  | 8010     | none                  | 2.2.0   | 103906889
148.113.211.127 | BrCEtDBGp2HP6wPMcE34jccNayF7SSVPjpr1q6j4Xww4 | 8001   | 8004  | 8010     | none                  | 2.1.14  | 3271415109
67.209.54.165   | 7VDefrtyCw7txZW94vVUjboajLq1orjmyCEwvrqVTGmd | 8000   | 8003  | 8009     | none                  | 2.1.14  | 3271415109
84.32.186.12    | Fee6nhSuWdgHJdBcV5w6kb6oC91j7jMcue82qE4A2hAv | 8001   | 8004  | 8010     | none                  | 2.1.14  | 3271415109
204.16.243.89   | DLTDC4nLJzg5FfLfvsMyZH6TCwEWRFbT4G4gF6oLkvNY | 8001   | 8004  | 8010     | none                  | 2.2.0   | 1081947060
208.91.110.149  | 8yyeG23hsUjSszRGSHiGyLRpKS3VYs64XSo3GQNfFxGw | 8001   | 8004  | 8010     | none                  | 2.2.0   | 3248754873
147.28.175.153  | vipZqqFUcKgnAPC5shXKBmPoDvCzVrtTy87GgZdxszo  | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
51.83.231.156   | CSWqdPStcgKn6A7eDJDJo8Jw8PP2GLdAsR6pZH2E3Tmn | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
15.204.190.90   | G9rYn9nf3PQM1pDcH8fHTRcbosZqK8usNxjLoBTZCHWh | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
178.33.250.26   | GoMnNZ3BfrmYVdVE3jZYPg9oZbDYEQiYtQAatR7eHjLE | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
131.186.38.236  | 5Jd2koXZX64uv8gd5yVRSGmVqCYbvbNy5NPJHp8J3pEf | 8001   | 8004  | 8010     | none                  | 1.18.25 | 3241752014
64.31.54.59     | F2Yt4293VjkYFKJS7mfdbYAMjMDcXnpHJ2EQwxVVVRYb | 8001   | 8004  | 8010     | none                  | 2.1.11  | 3039680930
164.152.19.196  | 4Pz2v9nwEicM2q1FWuBBGCcXuuCqhSUjPqMLohiu4wLx | 8001   | 8004  | 8010     | none                  | 1.18.25 | 3241752014
158.178.147.64  | 9WhNfQJyD5mn2adenoDCNqg9m6M3bLWTg1unKcyNTkHe | 8001   | 8004  | 8010     | none                  | 1.18.25 | 3241752014
178.33.111.18   | FKBNdsCJ3awaoqiUdzFtR84AiKWLu1Qs8xPxqygve9Eh | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
192.99.87.205   | 3uAZrb1uFsb3S4A3m4Rj8guTXEwFJi1qZ99MB5LuQ8QH | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
66.42.113.69    | 2WhthqbGiuGAvjDJtahC71phJu8JqBXzYZ1UDBZXas3U | 8000   | 8003  | 8009     | none                  | 2.1.11  | 1725507508
202.8.8.121     | H69EHdRfwRUSuBY22rsCjrmnihcjNdaRm7pkcsFmk84q | 8001   | 8004  | 8010     | none                  | 2.0.21  | 607245837
162.19.167.138  | DoLj39mVMk8tKZrHiKEWJTx2GkxWN7MGVoMJnJMbTFBB | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
72.251.7.27     | B8W7b31rS4cz3koPaA7d8Dqb7J6CmBX1NN8zwvnxT3Di | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
72.251.4.94     | AkgGj7MC1YP8XeZSHbvUPHXUqgEnjU99rW4VsoNex5kn | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
208.115.224.50  | 5eCDPKFVZQNRNM4RidiwJrQySNr8nMorBaPrgfutaHpd | 8001   | 8004  | 8010     | none                  | 2.1.11  | 3039680930
51.255.148.96   | J4uiJztEPFgwtodxiAdAgaKQHbimpNtW3kVVy2xeLucc | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
165.140.87.209  | DEZfnfjY5W2cQtEUcAJivGgX5eXSz3Hwawi7TZz9eB64 | 8000   | none  | none     | none                  | 2.0.19  | 607245837
72.251.4.92     | 6etv2GUUKLqJjg1c2emNkKT1mj7xuqxXm6BVUmV2GMxT | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
147.135.126.216 | 2UijX6YvP93UoWtbmSA8pG1RvvYZoyUoAfB5Ku63tgUX | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
66.70.134.73    | BKfrb847n2q8q9XcJ1s6jEtwr4ab5H3RtksaFZVYQeD3 | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
135.148.147.223 | BSwUxiHMSAex3si6EwkDYfCynrafPqc5bx8MsdiqyFb1 | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
74.118.140.141  | HzKGBsk3LanzyAGdJnFh2TQu8NgzZzPxtJRUdC9cmMA9 | 8001   | 8004  | 8010     | none                  | 2.1.11  | 3039680930
88.216.198.204  | 45Z2iaeBitGpDTW1K6Fjb6xX3WEuwptD8LDFnikdzq4R | 8001   | 8004  | 8010     | none                  | 2.0.21  | 607245837
64.176.66.22    | Picanmgae1ZFueTPZLwLzPRhNG4Y7H1yQtrqxCqUZLe  | 8000   | 8003  | 8009     | none                  | 2.0.15  | 607245837
51.81.232.227   | C9kvDQwXqQQGdwZarS4YrvkQ2jfXE2XJjVNf5LrrLSQR | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
84.32.186.187   | FEhMt45oz7HwJGLwUxuVks2R8odTm3Cg32EP6mXXngS7 | 8000   | 8003  | 8009     | none                  | 2.1.11  | 3039680930
202.8.8.49      | BVgZN2KPjv9AbPzieb6XeEWacKp5F1pRUdGUdHnTYvyL | 8000   | 8003  | 8009     | none                  | 2.0.22  | 607245837
51.81.229.144   | 5jBA42gnGLEWXTskYn4NTnX8pRMfRbBjtc9hD3UFFXMS | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
64.181.205.149  | bmbbKPPxrCMmPCeuZpeAyuNhmirhhAp15pK1VKE4Vyz  | 8001   | 8004  | 8010     | none                  | 1.18.25 | 3241752014
54.249.5.159    | 4RBcrS9M6eLJXtDEHJjoT7yZYqMA3mF1GQ6tN2SweoBV | 28000  | 28003 | 28009    | none                  | 2.1.14  | 3271415109
54.37.140.71    | 4beazqen477YiTCE3H2ZRDZNnyHyovUga42DT9daKcEo | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
51.38.107.252   | E2oNH8pzdMcCvNkJq22gfv4ixVSC65Ct7rHMf3SwZ7dY | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
144.217.201.88  | 3C6EAnmM6FhfcXaN9ttLzwSGYKLkGeAQtXeGtzQxRQph | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
145.239.203.31  | Anc1khg6UPH2cWHpEVYSUZk3oDvCErhUKtecn5FLEd5N | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
54.36.184.233   | 99TJQsovEgxhBxaMu8mSePzZ2bP7maEPajXQhfd7MxnE | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
54.37.114.160   | CwXQBVG5KFqwShB59DyRCK4FQQHghtpkQakLsMRSjsJr | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
91.203.69.149   | 31MgjJEbPJDYwytj7V3CRPauY2KK9szmzd3APoUgCLHA | 8001   | 8003  | 8009     | none                  | 2.1.11  | 1725507508
192.99.87.204   | APY81GPq358ESXeGbxDgo88uXJUA2fpNZpuJqgZ6UAeb | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
95.214.54.140   | 2qjWKWKgPLq7Ae9xf7XDFngRpfXqnd13B5TzGvm5Tvrw | 8000   | 8003  | 8009     | none                  | 2.1.11  | 1725507508
45.134.108.152  | 4FMdA6JFYyXEnBc2Q9CBV4c6wSkuvm4szyFQfgcEpfjR | 8000   | 8003  | 8009     | none                  | 2.1.13  | 1725507508
64.31.39.34     | GLQLRGGpspfq8PCDrk5msMFn87rbR4zHhPGjDCLudyX2 | 8001   | 8004  | 8010     | none                  | 2.1.11  | 3039680930
64.130.51.45    | 77aLvDQYxKbGaVwgUXTodFMGsiNoBANJS7kktKn1VYDw | 8001   | 8004  | 8010     | none                  | 2.2.0   | 103906889
167.114.14.226  | DFiQXAzC34fX7Gk6uiHnD1bmC42PUok2k2cf8Eq5T4nB | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
51.81.1.186     | GYvb2TjwVEHPiZsPEipUWedV8wpwiAwzQbsHf8dfRVy6 | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
64.130.51.106   | 2cvc5WWC1ciCR26cJRXLgwEqMvzzjX7ft6eZuHJ3jT15 | 8001   | 8004  | 8010     | none                  | 2.2.0   | 1081947060
198.244.135.123 | 2HdAkwEjDoC3BxdRGCQtXJ1o2ATTivJ2JvMPJ5G1J35j | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
54.36.227.239   | 2Phb2SmAkwDzBNXRVcvHWPUaVh4PHDThGtWZFSjwqnes | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
146.59.8.175    | 6ZB6egB74j29ZbFHriEm37qbUoQAuwurmn55BA4ageHJ | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
